日期,契約,到期月份(週別),開盤價,最高價,最低價,最後成交價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,結算價,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
2000-01-04,TX,200001,8688,8939,8650,8843,▲279,▲ 3.26%,0,2800,2800,8843,2946,8840,8845,8939,7502
2000-01-05,TX,200001,8718,8870,8671,8810,▼-33,▼ -0.37%,0,2854,2854,8810,3120,8810,8839,8939,7502
2000-01-06,TX,200001,8840,9005,8820,8850,▲40,▲ 0.45%,0,2501,2501,8850,3440,8845,8850,9005,7502
2000-01-07,TX,200001,8781,8870,8711,8829,▼-21,▼ -0.24%,0,2409,2409,8829,3227,8825,8829,9005,7502
2000-01-10,TX,200001,8949,9200,8880,9200,▲371,▲ 4.20%,0,2638,2638,9200,3275,9180,9200,9200,7502
2000-01-11,TX,200001,9340,9340,8930,8951,▼-249,▼ -2.71%,0,3367,3367,8951,2750,8951,8960,9340,7502
2000-01-12,TX,200001,8951,9190,8951,9190,▲239,▲ 2.67%,0,2028,2028,9190,2821,9190,9192,9340,7502
2000-01-13,TX,200001,9190,9195,9066,9115,▼-75,▼ -0.82%,0,1796,1796,9115,2946,9115,9117,9340,7502
2000-01-14,TX,200001,9161,9190,8976,9073,▼-42,▼ -0.46%,0,2198,2198,9073,2536,9070,9073,9340,7502
2000-01-15,TX,200001,9175,9230,9095,9230,▲157,▲ 1.73%,0,1556,1556,9230,2262,9229,9230,9340,7502
2000-01-17,TX,200001,9230,9390,9201,9300,▲70,▲ 0.76%,0,1264,1264,9300,1832,9300,9305,9390,7502
2000-01-18,TX,200001,9290,9298,9206,9278,▼-22,▼ -0.24%,0,607,607,9278,1571,9263,9279,9390,7502
2000-01-19,TX,200001,9240,9299,9176,9185,▼-93,▼ -1.00%,0,993,993,9185,805,9182,9185,9390,7502
2000-01-20,TX,200002,9217,9269,9173,9269,▲49,▲ 0.53%,0,2124,2124,9269,2892,9265,9269,9498,7805
2000-01-21,TX,200002,9250,9399,9245,9350,▲81,▲ 0.87%,0,2278,2278,9350,3071,9350,9355,9498,7805
